                 line1                  |            City            |       district       |                country                
 753 Ilorin Avenue                      | Emeishan                   | Sichuan              | China
 1854 Okara Boulevard                   | Emmen                      | Drenthe              | Netherlands
 804 Elista Drive                       | Enshi                      | Hubei                | China
 319 Springs Loop                       | Erlangen                   | Baijeri              | Germany
 203 Tambaram Street                    | Escobar                    | Buenos Aires         | Argentina
 1531 Sal Drive                         | Esfahan                    | Esfahan              | Iran
 1269 Ipoh Avenue                       | Eskisehir                  | Eskisehir            | Turkey
 211 Chiayi Drive                       | Etawah                     | Uttar Pradesh        | India
 166 Jinchang Street                    | Ezeiza                     | Buenos Aires         | Argentina
 1774 Yaound Place                      | Ezhou                      | Hubei                | China
 1447 Imus Way                          | Faaa                       | Tahiti               | French Polynesia
 1568 Celaya Parkway                    | Fengshan                   | Kaohsiung            | Taiwan
 9 San Miguel de Tucumn Manor           | Firozabad                  | Uttar Pradesh        | India
 734 Tanshui Avenue                     | Florencia                  | Caquet               | Colombia
 1135 Izumisano Parkway                 | Fontana                    | California           | Murica
 928 Jaffna Loop                        | Fukuyama                   | Hiroshima            | Japan
 454 Nakhon Sawan Boulevard             | Funafuti                   | Funafuti             | Tuvalu
 1333 Haldia Street                     | Fuyu                       | Jilin                | China
 1308 Sumy Loop                         | Fuzhou                     | Fujian               | China
 1967 Sincelejo Place                   | Gandhinagar                | Gujarat              | India
 1895 Zhezqazghan Drive                 | Garden Grove               | California           | Murica
 1894 Boa Vista Way                     | Garland                    | Texas                | Murica
 1153 Allende Way                       | Gatineau                   | Qubec                | Canada
 984 Novoterkassk Loop                  | Gaziantep                  | Gaziantep            | Turkey
 331 Bydgoszcz Parkway                  | Gijn                       | Asturia              | Spain
 118 Jaffna Loop                        | Gingoog                    | Northern Mindanao    | Philippines
 984 Effon-Alaiye Avenue                | Goinia                     | Gois                 | Brazil
 1688 Nador Lane                        | Gorontalo                  | Sulawesi Utara       | Indonesia
 333 Goinia Way                         | Grand Prairie              | Texas                | Murica
 1010 Klerksdorp Way                    | Graz                       | Steiermark           | Austria
 369 Papeete Way                        | Greensboro                 | North Carolina       | Murica
 817 Laredo Avenue                      | Guadalajara                | Jalisco              | Mexico
 259 Ipoh Drive                         | Guaruj                     | So Paulo             | Brazil
 1049 Matamoros Parkway                 | Gulbarga                   | Karnataka            | India
 127 Iwakuni Boulevard                  | Hagonoy                    | Central Luzon        | Philippines
 904 Clarksville Drive                  | Haining                    | Zhejiang             | China
 1149 A Corua (La Corua) Boulevard      | Haiphong                   | Haiphong             | Vietnam
 435 0 Way                              | Haldia                     | West Bengali         | India
 1844 Usak Avenue                       | Halifax                    | Nova Scotia          | Canada
 1027 Banjul Place                      | Halisahar                  | West Bengali         | India
 1966 Tonghae Street                    | Halle/Saale                | Anhalt Sachsen       | Germany
 154 Tallahassee Loop                   | Hami                       | Xinxiang             | China
 478 Joliet Way                         | Hamilton                   | Hamilton             | New Zealand
 68 Ponce Parkway                       | Hanoi                      | Hanoi                | Vietnam
 781 Shimonoseki Drive                  | Hidalgo                    | Michoacn de Ocampo   | Mexico
 446 Kirovo-Tepetsk Lane                | Higashiosaka               | Osaka                | Japan
 345 Oshawa Boulevard                   | Hino                       | Tokyo-to             | Japan
 1635 Kuwana Boulevard                  | Hiroshima                  | Hiroshima            | Japan
 434 Ourense (Orense) Manor             | Hodeida                    | Hodeida              | Yemen
 1587 Sullana Lane                      | Hohhot                     | Inner Mongolia       | China
 791 Salinas Street                     | Hoshiarpur                 | Punjab               | India
 381 Kabul Way                          | Hsichuh                    | Taipei               | Taiwan
 500 Lincoln Parkway                    | Huaian                     | Jiangsu              | China
 788 Atinsk Street                      | Hubli-Dharwad              | Karnataka            | India
 966 Asuncin Way                        | Huejutla de Reyes          | Hidalgo              | Mexico
 1002 Ahmadnagar Manor                  | Huixquilucan               | Mxico                | Mexico
 1746 Faaa Way                          | Hunuco                     | Huanuco              | Peru
 543 Bergamo Avenue                     | Ibirit                     | Minas Gerais         | Brazil
 1736 Cavite Place                      | Idfu                       | Qina                 | Egypt
 1888 Kabul Drive                       | Ife                        | Oyo & Osun           | Nigeria
 955 Bamenda Way                        | Ikerre                     | Ondo & Ekiti         | Nigeria
 951 Springs Lane                       | Iligan                     | Central Mindanao     | Philippines
 1177 Jelets Way                        | Ilorin                     | Kwara & Kogi         | Nigeria
 953 Hodeida Street                     | Imus                       | Southern Tagalog     | Philippines
 457 Tongliao Loop                      | Inegl                      | Bursa                | Turkey
 316 Uruapan Street                     | Ipoh                       | Perak                | Malaysia
 1949 Sanya Street                      | Isesaki                    | Gumma                | Japan
 1867 San Juan Bautista Tuxtepec Avenue | Ivanovo                    | Ivanovo              | Russian Federation
 1148 Saarbrcken Parkway                | Iwaki                      | Fukushima            | Japan
 1964 Allappuzha (Alleppey) Street      | Iwakuni                    | Yamaguchi            | Japan
 168 Cianjur Manor                      | Iwatsuki                   | Saitama              | Japan
 767 Pyongyang Drive                    | Izumisano                  | Osaka                | Japan
 692 Amroha Drive                       | Jaffna                     | Northern             | Sri Lanka
 81 Hodeida Way                         | Jaipur                     | Rajasthan            | India
 456 Escobar Way                        | Jakarta                    | Jakarta Raya         | Indonesia
 346 Skikda Parkway                     | Jalib al-Shuyukh           | Hawalli              | Kuwait
 1816 Bydgoszcz Loop                    | Jamalpur                   | Dhaka                | Bangladesh
 810 Palghat (Palakkad) Boulevard       | Jaroslavl                  | Jaroslavl            | Russian Federation
 1050 Garden Grove Avenue               | Jastrzebie-Zdrj            | Slaskie              | Poland
 725 Isesaki Place                      | Jedda                      | Mekka                | Saudi Arabia
 1913 Kamakura Place                    | Jelets                     | Lipetsk              | Russian Federation
 176 Mandaluyong Place                  | Jhansi                     | Uttar Pradesh        | India
 475 Atinsk Way                         | Jinchang                   | Gansu                | China
 1837 Kaduna Parkway                    | Jining                     | Inner Mongolia       | China
 844 Bucuresti Place                    | Jinzhou                    | Liaoning             | China
 60 Poos de Caldas Street               | Jodhpur                    | Rajasthan            | India
 270 Tambaram Parkway                   | Johannesburg               | Gauteng              | South Africa
 786 Matsue Way                         | Joliet                     | Illinois             | Murica
 760 Miyakonojo Drive                   | Jos Azueta                 | Guerrero             | Mexico
 686 Garland Manor                      | Juazeiro do Norte          | Cear                 | Brazil
 32 Liaocheng Way                       | Juiz de Fora               | Minas Gerais         | Brazil
 722 Bradford Lane                      | Junan                      | Shandong             | China
 433 Florencia Street                   | Jurez                      | Chihuahua            | Mexico
 1168 Najafabad Parkway                 | Kabul                      | Kabol                | Afghanistan
 320 Brest Avenue                       | Kaduna                     | Kaduna               | Nigeria
 1287 Xiangfan Boulevard                | Kakamigahara               | Gifu                 | Japan
 1883 Maikop Lane                       | Kaliningrad                | Kaliningrad          | Russian Federation
 906 Goinia Way                         | Kalisz                     | Wielkopolskie        | Poland
 586 Tete Way                           | Kamakura                   | Kanagawa             | Japan
 33 Gorontalo Way                       | Kamarhati                  | West Bengali         | India
 1793 Meixian Place                     | Kamjanets-Podilskyi        | Hmelnytskyi          | Ukraine
 886 Tonghae Place                      | Kamyin                     | Volgograd            | Russian Federation
 1421 Quilmes Lane                      | Kanazawa                   | Ishikawa             | Japan
 1013 Tabuk Boulevard                   | Kanchrapara                | West Bengali         | India
 1191 Sungai Petani Boulevard           | Kansas City                | Missouri             | Murica
 1884 Shikarpur Avenue                  | Karnal                     | Haryana              | India
 1948 Bayugan Parkway                   | Katihar                    | Bihar                | India
 220 Hidalgo Drive                      | Kermanshah                 | Kermanshah           | Iran
 374 Bat Yam Boulevard                  | Kilis                      | Kilis                | Turkey
 1417 Lancaster Avenue                  | Kimberley                  | Northern Cape        | South Africa
 588 Vila Velha Manor                   | Kimchon                    | Kyongsangbuk         | South Korea
 1016 Iwakuni Street                    | Kingstown                  | St George            | Saint Vincent and the Grenadines
 1089 Iwatsuki Avenue                   | Kirovo-Tepetsk             | Kirov                | Russian Federation
 447 Surakarta Loop                     | Kisumu                     | Nyanza               | Kenya
 1836 Korla Parkway                     | Kitwe                      | Copperbelt           | Zambia
 682 Junan Way                          | Klerksdorp                 | North West           | South Africa
 661 Chisinau Lane                      | Kolpino                    | Pietari              | Russian Federation
 182 Nukualofa Drive                    | Konotop                    | Sumy                 | Ukraine
 454 Patiala Lane                       | Koriyama                   | Fukushima            | Japan
 226 Halifax Street                     | Korla                      | Xinxiang             | China
 954 Lapu-Lapu Way                      | Korolev                    | Moskova              | Russian Federation
 1912 Allende Manor                     | Kowloon and New Kowloon    | Kowloon and New Kowl | Hong Kong
 900 Santiago de Compostela Parkway     | Kragujevac                 | Central Serbia       | Yugoslavia
 848 Tafuna Manor                       | Ktahya                     | Ktahya               | Turkey
 1114 Liepaja Street                    | Kuching                    | Sarawak              | Malaysia
 1675 Xiangfan Manor                    | Kumbakonam                 | Tamil Nadu           | India
 61 Tama Street                         | Kurashiki                  | Okayama              | Japan
 1618 Olomouc Manor                     | Kurgan                     | Kurgan               | Russian Federation
 746 Joliet Lane                        | Kursk                      | Kursk                | Russian Federation
 958 Sagamihara Lane                    | Kuwana                     | Mie                  | Japan
 184 Mandaluyong Street                 | La Paz                     | Baja California Sur  | Mexico
 1926 El Alto Avenue                    | La Plata                   | Buenos Aires         | Argentina
 1245 Ibirit Way                        | La Romana                  | La Romana            | Dominican Republic
 1560 Jelets Boulevard                  | Laiwu                      | Shandong             | China
 793 Cam Ranh Avenue                    | Lancaster                  | California           | Murica
 1557 Cape Coral Parkway                | Laohekou                   | Hubei                | China
 582 Papeete Loop                       | Lapu-Lapu                  | Central Visayas      | Philippines
 1795 Santiago de Compostela Way        | Laredo                     | Texas                | Murica
 1331 Usak Boulevard                    | Lausanne                   | Vaud                 | Switzerland
 1740 Le Mans Loop                      | Le Mans                    | Pays de la Loire     | France
 1762 Paarl Parkway                     | Lengshuijiang              | Hunan                | China
 1052 Pathankot Avenue                  | Leshan                     | Sichuan              | China
 23 Workhaven Lane                      | Lethbridge                 | Alberta              | Canada
 47 MySakila Drive                      | Lethbridge                 | Alberta              | Canada
 1078 Stara Zagora Drive                | Lhokseumawe                | Aceh                 | Indonesia
 1854 Tieli Street                      | Liaocheng                  | Shandong             | China
 1780 Hino Boulevard                    | Liepaja                    | Liepaja              | Latvia
 710 San Felipe del Progreso Avenue     | Lilongwe                   | Lilongwe             | Malawi
 1175 Tanauan Way                       | Lima                       | Lima                 | Peru
 1214 Hanoi Way                         | Lincoln                    | Nebraska             | Murica
 1440 Compton Place                     | Linz                       | North Austria        | Austria
 1998 Halifax Drive                     | Lipetsk                    | Lipetsk              | Russian Federation
 379 Lublin Parkway                     | Livorno                    | Toscana              | Italy
 1623 Baha Blanca Manor                 | Ljubertsy                  | Moskova              | Russian Federation
 1074 Sanaa Parkway                     | Loja                       | Loja                 | Ecuador
 548 Uruapan Street                     | London                     | Ontario              | United Kingdom
 1497 Yuzhou Drive                      | London                     | England              | United Kingdom
 414 Mandaluyong Street                 | Lublin                     | Lubelskie            | Poland
 514 Ife Way                            | Lubumbashi                 | Shaba                | Congo, The Democratic Republic of the
 1668 Anpolis Street                    | Lungtan                    | Taipei               | Taiwan
 1839 Szkesfehrvr Parkway               | Luzinia                    | Gois                 | Brazil
 519 Brescia Parkway                    | Madiun                     | East Java            | Indonesia
 320 Baiyin Parkway                     | Mahajanga                  | Mahajanga            | Madagascar
 1157 Nyeri Loop                        | Maikop                     | Adygea               | Russian Federation
 1150 Kimchon Manor                     | Malm                       | Skne ln              | Sweden
 401 Sucre Boulevard                    | Manchester                 | New Hampshire        | Murica
 1831 Nam Dinh Loop                     | Mandaluyong                | National Capital Reg | Philippines
 1820 Maring Parkway                    | Mandi Bahauddin            | Punjab               | Pakistan
 1074 Binzhou Manor                     | Mannheim                   | Baden-Wrttemberg     | Germany
 138 Caracas Boulevard                  | Maracabo                   | Zulia                | Venezuela
 1688 Okara Way                         | Mardan                     | Nothwest Border Prov | Pakistan
 829 Grand Prairie Way                  | Maring                     | Paran                | Brazil
 613 Korolev Drive                      | Masqat                     | Masqat               | Oman
 146 Johannesburg Way                   | Matamoros                  | Tamaulipas           | Mexico
 619 Hunuco Avenue                      | Matsue                     | Shimane              | Japan
 1952 Chatsworth Drive                  | Meixian                    | Guangdong            | China
 682 Garden Grove Place                 | Memphis                    | Tennessee            | Murica
 1532 Dzerzinsk Way                     | Merlo                      | Buenos Aires         | Argentina
 785 Vaduz Street                       | Mexicali                   | Baja California      | Mexico
 651 Pathankot Loop                     | Miraj                      | Maharashtra          | India
 775 ostka Drive                        | Mit Ghamr                  | al-Daqahliya         | Egypt
 752 Ondo Loop                          | Miyakonojo                 | Miyazaki             | Japan
 556 Asuncin Way                        | Mogiljov                   | Mogiljov             | Belarus
 1027 Songkhla Manor                    | Molodetno                  | Minsk                | Belarus
 1351 Sousse Lane                       | Monclova                   | Coahuila de Zaragoza | Mexico
 51 Laredo Avenue                       | Monywa                     | Sagaing              | Myanmar
 46 Pjatigorsk Lane                     | Moscow                     | Moscow (City)        | Russian Federation
 1208 Tama Loop                         | Mosul                      | Ninawa               | Iraq
 1752 So Leopoldo Parkway               | Mukateve                   | Taka-Karpatia        | Ukraine
 1425 Shikarpur Manor                   | Munger (Monghyr)           | Bihar                | India
 64 Korla Street                        | Mwanza                     | Mwanza               | Tanzania
 1519 Santiago de los Caballeros Loop   | Mwene-Ditu                 | East Kasai           | Congo, The Democratic Republic of the
 1566 Inegl Manor                       | Myingyan                   | Mandalay             | Myanmar
 1213 Ranchi Parkway                    | Mysore                     | Karnataka            | India
 195 Ilorin Street                      | NDjamna                    | Chari-Baguirmi       | Chad
 596 Huixquilucan Place                 | Naala-Porto                | Nampula              | Mozambique
 207 Cuernavaca Loop                    | Nabereznyje Telny          | Tatarstan            | Russian Federation
 671 Graz Street                        | Nador                      | Oriental             | Morocco
 1963 Moscow Place                      | Nagaon                     | Assam                | India
 17 Kabul Boulevard                     | Nagareyama                 | Chiba                | Japan
 1922 Miraj Way                         | Najafabad                  | Esfahan              | Iran
 647 A Corua (La Corua) Street          | Naju                       | Chollanam            | South Korea
 1337 Mit Ghamr Avenue                  | Nakhon Sawan               | Nakhon Sawan         | Thailand
 1786 Salinas Place                     | Nam Dinh                   | Nam Ha               | Vietnam
 368 Hunuco Boulevard                   | Namibe                     | Namibe               | Angola
 53 Idfu Parkway                        | Nantou                     | Nantou               | Taiwan
 1440 Fukuyama Loop                     | Nanyang                    | Henan                | China
 1766 Almirante Brown Street            | Newcastle                  | KwaZulu-Natal        | South Africa
 1107 Nakhon Sawan Avenue               | Nezahualcyotl              | Mxico                | Mexico
 617 Klerksdorp Place                   | Nha Trang                  | Khanh Hoa            | Vietnam
 909 Garland Manor                      | Niznekamsk                 | Tatarstan            | Russian Federation
 1917 Kumbakonam Parkway                | Novi Sad                   | Vojvodina            | Yugoslavia
 1077 San Felipe de Puerto Plata Place  | Novoterkassk               | Rostov-na-Donu       | Russian Federation
 1516 Escobar Drive                     | Nukualofa                  | Tongatapu            | Tonga
 850 Salala Loop                        | Nuuk                       | Kitaa                | Greenland
 1658 Jastrzebie-Zdrj Loop              | Nyeri                      | Central              | Kenya
 1848 Salala Boulevard                  | Ocumare del Tuy            | Miranda              | Venezuela
 556 Baybay Manor                       | Ogbomosho                  | Oyo & Osun           | Nigeria
 734 Bchar Place                        | Okara                      | Punjab               | Pakistan
 591 Sungai Petani Drive                | Okayama                    | Okayama              | Japan
 1565 Tangail Manor                     | Okinawa                    | Okinawa              | Japan
 682 Halisahar Place                    | Olomouc                    | Severn Morava        | Czech Republic
 115 Hidalgo Parkway                    | Omdurman                   | Khartum              | Sudan
 1266 Laredo Parkway                    | Omiya                      | Saitama              | Japan
 1367 Yantai Manor                      | Ondo                       | Ondo & Ekiti         | Nigeria
 124 al-Manama Way                      | Onomichi                   | Hiroshima            | Japan
 891 Novi Sad Manor                     | Oshawa                     | Ontario              | Canada
 270 Amroha Parkway                     | Osmaniye                   | Osmaniye             | Turkey
 1336 Benin City Drive                  | Otsu                       | Shiga                | Japan
 898 Jining Lane                        | Oulu                       | Pohjois-Pohjanmaa    | Finland
 1469 Plock Lane                        | Ourense (Orense)           | Galicia              | Spain
 1006 Santa Brbara dOeste Manor         | Owo                        | Ondo & Ekiti         | Nigeria
 786 Stara Zagora Way                   | Oyo                        | Oyo & Osun           | Nigeria
 1351 Aparecida de Goinia Parkway       | Ozamis                     | Northern Mindanao    | Philippines
 1443 Mardan Street                     | Paarl                      | Western Cape         | South Africa
 1698 Southport Loop                    | Pachuca de Soto            | Hidalgo              | Mexico
 1632 Bislig Avenue                     | Pak Kret                   | Nonthaburi           | Thailand
 1519 Ilorin Place                      | Palghat (Palakkad)         | Kerala               | India
 1658 Cuman Loop                        | Pangkal Pinang             | Sumatera Selatan     | Indonesia
 1668 Saint Louis Place                 | Papeete                    | Tahiti               | French Polynesia
 41 El Alto Parkway                     | Parbhani                   | Maharashtra          | India
